pid,repo_url,label,creator,code,type,repository,coordinates,repo_type,folders,description,festival_edition,languages,accession_date,digital,finding_aid,access_status,date_added
doc001,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc102774t,Edouard Glissant Papers,Edouard Glissant,NAF 28894,personal papers,Bibliotheque Nationale de France,"48.833938,2.377562",Public Library,"Box 28, folder 1; Box 29, folder 4-5",Notes on The West Indian Writer and His Quarrel with History (paper by E. Baugh read at Carifesta 76). Ephemera from Carifesta 76. Notes on events and Cuban materials from Carifesta 79. Editions of Granma and Juventud Rebelde.,ca76;ca79,"french, spanish, english",2016,TRUE,TRUE,on-site,5/25/23
doc002,https://uwispace.sta.uwi.edu/dspace/bitstream/handle/2139/10175/CarlisleChang.html?sequence=5&isAllowed=y,Carlisle Chang Collection,Carlisle Chang,SC84,personal papers,"The Alma Jordan Library, The University of the West Indies","10.639437,-61.398812",University Library,"Box 2, folders 15-25","Documents pertaining to organization of Carifesta 92 in Trinidad. Also contains relevant correspodence, catalogues, and ephemera.",ca92,english,2004,FALSE,TRUE,on-site,5/25/23
doc003,https://uwispace.sta.uwi.edu/dspace/bitstream/handle/2139/12706/EarlLovelace%20manuscripts.html?sequence=4&isAllowed=y,Earl Lovelace Manuscripts,Earl Lovelace,SC64,personal papers,"The Alma Jordan Library, The University of the West Indies","10.639437,-61.398812",University Library,"Box 19, folder 5",Notes pertaining to what seems to be a staging of the 1977 Lovelace play Pierrot Grenade at Carifesta 92.,ca92,english,NULL,FALSE,TRUE,on-site,5/25/23
doc004,https://uwispace.sta.uwi.edu/dspace/bitstream/handle/2139/10170/IrmaGoldstraw.html?sequence=1&isAllowed=y,Irma Goldstraw Papers,Irma Goldstraw,SC86,personal papers,"The Alma Jordan Library, The University of the West Indies","10.639437,-61.398812",University Library,"Box 1, folder 5; Box 3, folder 12","Contains a Carifesta 72 program book and the Roderick Walcott play Banjo Man, performed at Carifesta 72.",ca72,english,2003-2008,FALSE,TRUE,on-site,5/25/23
doc005,https://uwispace.sta.uwi.edu/dspace/bitstream/handle/2139/10160/Lystralewis.html?sequence=1&isAllowed=y,Lystra Lewis Papers,Lystra Lewis,SC93,personal papers,"The Alma Jordan Library, The University of the West Indies","10.639437,-61.398812",University Library,"Box 1, folder 13-15; Box 13, folder 3","Contains photographs, correspondence, brochures, and reports about Carifesta 92.",ca92,english,2010,FALSE,TRUE,on-site,5/26/23
doc006,https://uwispace.sta.uwi.edu/dspace/bitstream/handle/2139/11284/EdricPearlConnor.html?sequence=1&isAllowed=y,Edric and Pearl Connor Papers,"Edric Connor, Pearl Connor",SC83,personal papers,"The Alma Jordan Library, The University of the West Indies","10.639437,-61.398812",University Library,"Box 4, folder 48-49, 65","Contains photographs, ephemera, news clippings, and other documents relating to Carifesta 76.",ca76;ca79,english,1980,FALSE,TRUE,on-site,5/26/23
doc007,https://archivespace.sta.uwi.edu/repositories/2/resources/81,Sam Selvon Collection,Sam Selvon,SC33,personal papers,"The Alma Jordan Library, The University of the West Indies","10.639437,-61.398812",University Library,"Box 6, folder 605.",Includes invitation to Carifesta.,NULL,english,1987,FALSE,TRUE,on-site,5/27/23
doc008,https://archivespace.sta.uwi.edu/repositories/2/resources/147,William Demas Papers,William Demas,SC92,personal papers,"The Alma Jordan Library, The University of the West Indies","10.639437,-61.398812",University Library,Box 30,Unspecified Carifesta materials.,NULL,english,1998,FALSE,TRUE,on-site,5/27/23
doc009,https://archivespace.sta.uwi.edu/repositories/2/resources/44,West Indian Photograph Collection,NULL,SC135,curated collection,"The Alma Jordan Library, The University of the West Indies","10.639437,-61.398812",University Library,"Box 4, folder 2",Photographs (10) from Carifesta 92 street parade.,ca92,english,NULL,FALSE,TRUE,on-site,5/28/23
doc010,https://archivespace.sta.uwi.edu/repositories/2/resources/19,Caribbean Performing Arts: Programmes and Ephemera,NULL,SC112,curated collection,"The Alma Jordan Library, The University of the West Indies","10.639437,-61.398812",University Library,Production Titles A-D,Contains unspecified documents pertaining to a production of the play Banjo Man at Carifesta 72.,ca72,english,NULL,FALSE,TRUE,on-site,5/28/23
